Query	Tweet	Username	Date	Hashtags	Likes	Retweets	Url
	"This is bad 

https://t.co/xkrWQDkPwo"	PJRyan89	Sun Dec 06 12:51:33 +0000 2020	[]	0	0	https://twitter.com/PJRyan89/status/1335567557131112453
	"281,960 
It didn’t have to be this bad #COVID https://t.co/jEi1zwBBzG"	JustJoeyLopez	Sun Dec 06 15:26:40 +0000 2020	['COVID']	0	0	https://twitter.com/JustJoeyLopez/status/1335606593384230919
	We really are bad at this...	Shem	Sun Dec 06 15:24:09 +0000 2020	[]	0	0	https://twitter.com/Shem/status/1335605960027598849
	It didn’t need to be that bad.	RepsForBiden	Sun Dec 06 13:23:15 +0000 2020	[]	0	0	https://twitter.com/RepsForBiden/status/1335575532898045953
	This is bad ass.....	underhil4517	Sun Dec 06 12:43:51 +0000 2020	[]	0	0	https://twitter.com/underhil4517/status/1335565619224178689
	miss him so bad 😭💔	hansollieee	Sun Dec 06 12:09:33 +0000 2020	[]	0	0	https://twitter.com/hansollieee/status/1335556986994188290
	This is bad, and WA's covid approach is bad. It's dangerous and unnecessary.	johnb78	Sun Dec 06 12:12:53 +0000 2020	[]	0	0	https://twitter.com/johnb78/status/1335557825418854402
	⁦@RSBNetwork⁩ big news.  Bad science bad politics bad for humanity.  Bill Gates to sterilize world with Covid vaccine https://t.co/JEfWyzpkIR	yomammabubba	Sun Dec 06 13:55:52 +0000 2020	[]	0	0	https://twitter.com/yomammabubba/status/1335583742308589570
	⁦@OANN⁩ ⁦@ChanelRion⁩ here is story to get out there.  Bill Gates to sterilize the world with COVID vaccine.  Bad science Bad science; bad for humanity https://t.co/JEfWyzpkIR	yomammabubba	Sun Dec 06 13:50:59 +0000 2020	[]	0	0	https://twitter.com/yomammabubba/status/1335582514228981760
	"Remember when Trump and #teamMAGA tried to say, ""look at Sweden?"" It was bad then, and it's bad now."	AThebends	Sun Dec 06 14:40:22 +0000 2020	['teamMAGA']	0	0	https://twitter.com/AThebends/status/1335594938738872321
	Covid is so bad, right? https://t.co/bOIhmuA2IJ	EnragedMango	Sun Dec 06 14:38:21 +0000 2020	[]	0	0	https://twitter.com/EnragedMango/status/1335594434323492866
	Too bad. Shoulda forfeited	EddieCheeba	Sun Dec 06 15:22:12 +0000 2020	[]	0	0	https://twitter.com/EddieCheeba/status/1335605468304125953
	No there’s too much bad ingredients in them	karenbe79623800	Sun Dec 06 15:20:09 +0000 2020	[]	0	0	https://twitter.com/karenbe79623800/status/1335604950559305728
